Action ID,Deal Type,Announce Date,Target Ticker,Acquirer Ticker,Deal Status,Deal Offer,Deal Attributes,Deal Description,Currency of Deal,Proposed Deal Type,Payment Type,Proposal Date,Amendment Date,Competing Bid Date,Completion/Termination Date,Announced Premium,Competing Bid Premium,Current Premium,Percent Owned,Percent Sought,Target Termination Fee,Acquirer Termination Fee,Has Contingency Payment,Target Industry Sector,Acquirer Industry Sector,Adviser Fees Disclosed,Target Legal Adviser,Acquirer Legal Adviser,Legal Adviser to Target Financial,Legal Adviser to Acquirer Financial,Target Financial Adviser,Acquirer Financial Adviser,Acquirer Financial Adviser Fee,Nature of Bid,Target Country/Region,Acquirer Country/Region,Target Security Description,Acquirer Security Description,Target Security Type,Acquirer Security Type,Target Revenue,Target Total Assets,Acquirer Total Assets,Acquirer Revenue,Target Gross Fixed Assets,Acquirer Gross Fixed Assets,Target Other Current Assets,Acquirer Other Assets,Target Current Assets to Total Assets,Acquirer Current Assets to Total Assets,Target Current Assets Reported,Acquirer Current Assets Reported,Acquirer Other Assets to Total Assets,Target Total Assets (FY-Specific - BDP),Target Revenue (FY-Specific - BDP),Acquirer Total Assets (FY-Specific - BDP),Acquirer Revenue (FY-Specific - BDP),Target Total Assets (Best Available),Target Total Assets Source,Acquirer Total Assets (Best Available),Acquirer Total Assets Source,Target Revenue (Best Available),Target Revenue Source,Acquirer Revenue (Best Available),Acquirer Revenue Source,Announced Total Value (mil.),Regime No.,Regime Start,Regime End,Intermediate Combined (R'm),Intermediate Target (R'm),Large Combined (R'm),Large Target (R'm),CPI Index (Dec 2024=100),CPI YoY %,Nominal GDP (R million),"Real GDP (R million, 2015 prices)","GDP Deflator (Index, 2015=100)",GDP Deflator YoY %,Market Capitalisation (R million),"Combined Limb Value (best of 4 routes, R'm)","Target Limb Value (max of assets/turnover, R'm)",Classification,Data Completeness,Year
7348736,M&A,2001/11/13,MNX SJ,BOE SJ,Completed,,"Company Takeover, Additional Stake Purchase",BOE Ltd acquired Monex Ltd for ZAR 95.18M. The transaction was announced on 11/13/2001 and completed on 2/4/2002.,ZAR,,Cash,,,,2002/2/4,28.21,,,74.000000,26.000000,,,No,Consumer Discretionary,Financials,N,,,,,,BOE Investment/KPMG Corp Fin,,Friendly,South Africa,South Africa,MNX,BOE,Common Stock,Common Stock,152.474,,67236,9089,,,,20763,,,,,,857.377,248.08,62462,7793,857.377,FY-specific (point-in-time),62462.0,FY-specific (point-in-time),248.08,FY-specific (point-in-time),7793.0,FY-specific (point-in-time),95.18,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,67388.474,152.474,Large,Partial (3/4),2001
7359628,M&A,2001/11/15,VLX SJ,BVT SJ,Completed,,"Company Takeover, Additional Stake Purchase",Bidvest Group Ltd/The acquired Voltex Holdings Pty Ltd for ZAR 147.79M. The transaction was announced on 11/15/2001 and completed on 3/22/2002.,ZAR,,Cash,,2002/1/11,,2002/3/22,63.74,,,32.000000,68.000000,,,No,Industrials,Consumer Staples,N,,,,,,,,Friendly,South Africa,South Africa,VLX,BVT,Common Stock,Common Stock,1506.75,,122623,130321,,40740.4,,,,43.1532,,52915.8,,786.818,1352.507,8109.428223,26427.619141,786.818,FY-specific (point-in-time),8109.428223,FY-specific (point-in-time),1352.507,FY-specific (point-in-time),26427.619141,FY-specific (point-in-time),147.79,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,131827.75,1506.75,Large,Partial (3/4),2001
74650750,M&A,2013/3/4,NBC SJ,TBG SJ,Completed,,"PE Buyout, Company Takeover, Cross Border, Private Equity, Tender Offer",Tiso Blackstar Group SE acquired New Bond Capital Ltd for GBP 4.70M. The transaction was announced on 3/4/2013 and completed on 6/3/2013.,GBP,,Stock,,,,2013/6/3,-19.44,,,0.000000,100.000000,,,No,Financials,Financials,N,Cliffe Dekker Ho,Paul Hastings,,,,,,Friendly,South Africa,United Kingdom,NBC,TBG,Common Stock,Common Stock,,2416.14,3837.64,2209.25,1.592,963.062,6.669,,99.9816,17.8318,2415.7,684.322,,2416.144,0,83.66,0,2416.144,FY-specific (point-in-time),83.66,FY-specific (point-in-time),0.0,FY-specific (point-in-time),0.0,FY-specific (point-in-time),64.76,3,2009-04-01,2017-09-30,560,80,6600,190,57.5166666666667,5.75833333333333,3868630.2,4302291.2,89.920231340919,5.84411132453906,10626244.0,6253.78,2416.14,Intermediate,Partial (3/4),2013
75313018,M&A,2013/3/22,AIP SJ,BVT SJ,Terminated,,"Majority Purchase, Additional Stake Purchase",Bidvest Group Ltd/The announced the acquisition of Adcock Ingram Holdings Ltd for ZAR 12617.92M. The transaction was announced on 3/22/2013 and terminated on 4/4/2013.,ZAR,,Cash and Stock,,,,2013/4/4,16.68,,,2.540000,57.459999,,,No,Health Care,Consumer Staples,N,,,,,,,,Friendly,South Africa,South Africa,AIP,BVT,Common Stock,Common Stock,9760.33,8735.68,122623,130321,2967.08,40740.4,214.008,,60.0069,43.1532,5242.02,52915.8,,5282.286,4599.249,55895.146,133533.633,5282.286,FY-specific (point-in-time),55895.146,FY-specific (point-in-time),4599.249,FY-specific (point-in-time),133533.633,FY-specific (point-in-time),12617.89,3,2009-04-01,2017-09-30,560,80,6600,190,57.5166666666667,5.75833333333333,3868630.2,4302291.2,89.920231340919,5.84411132453906,10626244.0,140081.33,9760.33,Large,Full (4/4),2013
7655458,AST,2002/1/18,AHH SJ,RAH SJ,Completed,,Asset Sale,African Oxygen Ltd sold Afrox Healthcare Ltd to Real Africa Holdings Ltd for ZAR 94.86M. The transaction was completed on 1/18/2002.,ZAR,,Cash,,,,2002/1/18,,,,5.400000,9.400000,,,No,Health Care,Consumer Discretionary,N,,,,,,,,Friendly,South Africa,South Africa,AHH,RAH,Common Stock,Common Stock,4913.78,3249.87,952.3,72.312,2358.7,,399.854,,39.9309,,1297.7,,,1767.56897,3087.485107,2762.701904296875,57.709999084472656,1767.56897,FY-specific (point-in-time),2762.701904296875,FY-specific (point-in-time),3087.485107,FY-specific (point-in-time),57.709999084472656,FY-specific (point-in-time),94.86,2,2001-02-01,2009-03-31,200,30,3500,100,31.8166666666667,9.15,1360679.3,3010473.1,45.1981882847583,12.5379611113752,1584151.0,5866.08,4913.78,Large,Full (4/4),2002
76602304,M&A,2013/3/1,CAP SJ,AIA SJ,Completed,,Company Takeover,Ascension Properties Ltd acquired Cape Empowerment Ltd for ZAr 21429.79M. The transaction was announced on 3/1/2013 and completed on 5/14/2013.,ZAr,,Cash or Stock,,,,2013/5/14,,,,0.000000,100.000000,,,No,Industrials,Real Estate,N,,,,,,,,Friendly,South Africa,South Africa,CAP,AIA,Common Stock,REIT,199.347,449.946,4331.78,533.595,20.927,,26.569,,38.9167,,175.104,102.76,,449.946,199.347,,,449.946,FY-specific (point-in-time),4331.78,MA-screen (current/latest - NOT point-in-time),199.347,FY-specific (point-in-time),533.595,MA-screen (current/latest - NOT point-in-time),214.30,3,2009-04-01,2017-09-30,560,80,6600,190,57.5166666666667,5.75833333333333,3868630.2,4302291.2,89.920231340919,5.84411132453906,10626244.0,4781.726,449.946,Intermediate,Full (4/4),2013
76685192,INV,2013/5/2,MVS SJ,BVT SJ,Completed,,Minority Purchase,Bidvest Group Ltd/The acquired a minority stake in Mvelaserve Ltd. The transaction was completed on 5/2/2013. Financial terms of the transaction are undisclosed.,ZAR,,Undisclosed,,,,2013/5/2,,,,0.000000,34.750000,,,No,Industrials,Consumer Staples,N,,,,,,,,Friendly,South Africa,South Africa,MVS,BVT,Common Stock,Common Stock,5408.07,2648.7,122623,130321,1075.63,40740.4,611.963,,56.8187,43.1532,1504.96,52915.8,,2357.396,4943.383,55895.146,133533.633,2357.396,FY-specific (point-in-time),55895.146,FY-specific (point-in-time),4943.383,FY-specific (point-in-time),133533.633,FY-specific (point-in-time),,3,2009-04-01,2017-09-30,560,80,6600,190,57.5166666666667,5.75833333333333,3868630.2,4302291.2,89.920231340919,5.84411132453906,10626244.0,135729.07,5408.07,Large,Full (4/4),2013
7703333,M&A,2002/1/31,MLN SJ,MNH SJ,Completed,,"Company Takeover, Squeeze Out, Additional Stake Purchase, Tender Offer",Marlin Holdings Ltd acquired Marlin Corp Ltd for ZAR 47.89M. The transaction was announced on 1/31/2002 and completed on 4/16/2002.,ZAR,,Cash,,,,2002/4/16,15.24,,,68.500000,31.500000,,,No,Materials,Materials,N,,Webber Wentzel,,,KPMG Corp Fin,Nedcor Invest Bk,,Friendly,South Africa,South Africa,MLN,MNH,Common Stock,Common Stock,705.3,,,750.3,,,,,,,,,,,705.2999877929688,,750.2999877929688,,Missing,,Missing,705.2999877929688,FY-specific (point-in-time),750.2999877929688,FY-specific (point-in-time),47.89,2,2001-02-01,2009-03-31,200,30,3500,100,31.8166666666667,9.15,1360679.3,3010473.1,45.1981882847583,12.5379611113752,1584151.0,1455.6,705.3,Intermediate,Partial (2/4),2002
77239450,M&A,2013/5/17,ALT SJ,AEL SJ,Completed,,"Company Takeover, Additional Stake Purchase, Tender Offer",Altron Ltd acquired Allied Technologies Ltd for ZAR 1947.13M. The transaction was announced on 5/17/2013 and completed on 8/20/2013.,ZAR,,Cash or Stock,,,,2013/8/20,40.37,,,61.400002,38.599998,,,No,Communications,Communications,N,,,,,,,,Friendly,South Africa,South Africa,ALT,AEL,Common Stock,Common Stock,10161,3764,9648,9637,881,,231,,55.7386,50.6219,2098,4884,,4089,9576,12280,23563,4089.0,FY-specific (point-in-time),12280.0,FY-specific (point-in-time),9576.0,FY-specific (point-in-time),23563.0,FY-specific (point-in-time),1947.14,3,2009-04-01,2017-09-30,560,80,6600,190,57.5166666666667,5.75833333333333,3868630.2,4302291.2,89.920231340919,5.84411132453906,10626244.0,19809.0,10161.0,Large,Full (4/4),2013
77501523,M&A,2013/5/29,IFH SJ,IFAHR KK,Completed,,"Company Takeover, Going Private, Cross Border, Additional Stake Purchase, Tender Offer",IFA Hotels & Resorts-KPSC acquired IFA Hotels & Resorts Ltd for ZAR 6.55M. The transaction was announced on 5/29/2013 and completed on 9/10/2013.,ZAR,,Cash,,,,2013/9/10,40.35,,,85.000000,15.000000,,,No,Consumer Discretionary,Industrials,N,,,,,,,,Friendly,South Africa,Kuwait,IFH,IFAHR,Common Stock,Common Stock,35117.3,578.522,9989.02,1394.13,,1176.71,165.521,,35.8655,26.7759,207.49,2674.65,,578.522,54.225,402.230538,17.311038,578.522,FY-specific (point-in-time),402.230538,FY-specific (point-in-time),54.225,FY-specific (point-in-time),17.311038,FY-specific (point-in-time),6.55,3,2009-04-01,2017-09-30,560,80,6600,190,57.5166666666667,5.75833333333333,3868630.2,4302291.2,89.920231340919,5.84411132453906,10626244.0,45106.32000000001,35117.3,Large,Full (4/4),2013
7756441,AST,2002/2/14,1002Z SJ,1007Z SJ,Completed,,"Cross Border, Asset Sale",SAir Group sold South African Airways to Transnet SOC Ltd for CHF 56.67M. The transaction was completed on 2/14/2002.,CHF,,Undisclosed,,,,2002/2/14,,,,80.000000,20.000000,,,No,Industrials,Industrials,N,,,,,,,,Friendly,South Africa,South Africa,1002Z,1007Z,Private Comp,Private Comp,28120,13376,366867,82691,14417,,1337,,49.1702,7.37433,6577,27054,,,,,,13376.0,MA-screen (current/latest - NOT point-in-time),366867.0,MA-screen (current/latest - NOT point-in-time),28120.0,MA-screen (current/latest - NOT point-in-time),82691.0,MA-screen (current/latest - NOT point-in-time),384.09,2,2001-02-01,2009-03-31,200,30,3500,100,31.8166666666667,9.15,1360679.3,3010473.1,45.1981882847583,12.5379611113752,1584151.0,394987.0,28120.0,Large,Full (4/4),2002
7863406,INV,2002/3/12,ARI SJ,AAL LN,Completed,,"Cross Border, Minority Purchase",Arctic Resources Ltd sold a minority stake in African Rainbow Minerals Ltd to Anglo American PLC. The transaction was completed on 3/12/2002.,USD,,Cash,,,,2002/3/12,,,,0.000000,34.900002,,,No,Materials,Materials,N,,,,,,,,Friendly,South Africa,United Kingdom,ARI,AAL,Common Stock,Common Stock,15248,78116,927647,331592,,1.16555e+06,5382,,22.2797,32.3445,17404,300043,,9114,2806,25529,14786,9114.0,FY-specific (point-in-time),25529.0,FY-specific (point-in-time),2806.0,FY-specific (point-in-time),14786.0,FY-specific (point-in-time),1582.76,2,2001-02-01,2009-03-31,200,30,3500,100,31.8166666666667,9.15,1360679.3,3010473.1,45.1981882847583,12.5379611113752,1584151.0,1005763.0,78116.0,Large,Full (4/4),2002
