Action ID,Deal Type,Announce Date,Target Ticker,Acquirer Ticker,Deal Status,Deal Attributes,Deal Description,Currency of Deal,Payment Type,Completion/Termination Date,Percent Owned,Percent Sought,Has Contingency Payment,Target Industry Sector,Acquirer Industry Sector,Adviser Fees Disclosed,Nature of Bid,Target Country/Region,Acquirer Country/Region,Target Security Description,Acquirer Security Description,Target Security Type,Acquirer Security Type,Financials Fiscal Year (as-at),Target Total Assets,Target Revenue,Acquirer Total Assets,Acquirer Revenue,Announced Total Value (mil.),Financial Variables Present (of 4),Target Limb Driver,Regime No.,Regime Start,Regime End,Intermediate Combined (R'm),Intermediate Target (R'm),Large Combined (R'm),Large Target (R'm),CPI Index (Dec 2024=100),CPI YoY %,Nominal GDP (R million),"Real GDP (R million, 2015 prices)","GDP Deflator (Index, 2015=100)",GDP Deflator YoY %,Market Capitalisation (R million),"Combined Limb Value (best of 4 routes, R'm)","Target Limb Value (max of assets/turnover, R'm)",Classification,Data Completeness,Year
22511076,INV,2006/7/19,MYT SJ,PAP SJ,Completed,Minority Purchase,Matemeku Property Acquisitions 104 Pty Ltd sold a minority stake in Monyetla Property Fund Ltd to Pangbourne Properties Ltd. The transaction was completed on 7/19/2006.,ZAR,Cash,2006/7/19,0.000000,40.630001,No,Real Estate,Real Estate,N,Friendly,South Africa,South Africa,MYT,PAP,Unit,Unit,2005,389.4129943847656,13.539999961853027,2901.748,365.173,109.92,4,Assets only,2,2001-02-01,2009-03-31,200,30,3500,100,36.9166666666667,4.64166666666667,2057593.9,3602578.7,57.114474695584,6.06463577535368,5041515.0,3291.1609943847657,389.4129943847656,Intermediate,Full (4/4),2006
225341539,M&A,2021/1/27,ADI SJ,HUG SJ,Pending,Company Takeover,Huge Group Ltd announced the acquisition of AdaptIT Holdings Ltd for ZAR 1787.02M. The transaction was announced on 1/27/2021 and is currently pending.,ZAR,Stock,,0.000000,100.000000,No,Technology,Communications,N,Friendly,South Africa,South Africa,ADI,HUG,Common Stock,Common Stock,2020,1937.817764,1483.346995,1216.465,492.145,1787.01,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,3154.2827639999996,1937.817764,Intermediate,Full (4/4),2021
225410161,INV,2021/2/1,1255Z SJ,ORN AU,Pending,"Option Agreement, Cross Border, Minority Purchase",Orion Minerals Ltd announced the acquisition of a minority stake in Industrial Development Corp of South Africa Ltd. The transaction was announced on 2/1/2021 and is currently pending. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,,0.000000,43.750000,No,Government,Materials,N,Friendly,South Africa,Australia,1255Z,ORN,Private Comp,Common Stock,2020,109631,16278,65.83,0,,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,109696.83,109631.0,Large,Full (4/4),2021
225486858,M&A,2021/1/7,CTK SJ,KARO US,Completed,"Company Takeover, Cross Border, Additional Stake Purchase, Tender Offer",Karooooo Ltd acquired Cartrack Holdings Ltd for ZAR 4009.32M. The transaction was announced on 1/7/2021 and completed on 4/22/2021.,ZAR,Cash,2021/4/22,68.180000,31.820000,No,Technology,Technology,N,Friendly,South Africa,Singapore,CTK,KARO,Common Stock,Common Stock,2020,1844.453,1941.893,1845.257,1941.893,4009.35,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,3883.786,1941.893,Intermediate,Full (4/4),2021
226485224,INV,2021/5/12,NPN SJ,PRX NA,Completed,"Cross Border, Additional Stake Purchase, Tender Offer",Prosus NV acquired Naspers Ltd for ZAR 696801.39M. The transaction was announced on 5/12/2021 and completed on 8/18/2021.,ZAR,Stock,2021/8/18,3.600000,45.400002,No,Communications,Communications,N,Friendly,South Africa,China,NPN,PRX,Common Stock,Common Stock,2020,36319,4001,35764,3330,696801.94,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,72083.0,36319.0,Large,Full (4/4),2021
226544935,M&A,2021/11/15,DGH SJ,HEIA NA,Completed,"Company Takeover, Cross Border",Heineken NV acquired Distell Group Holdings Ltd for ZAR 40072.03M. The transaction was announced on 11/15/2021 and completed on 4/28/2023.,ZAR,Cash,2023/4/28,0.000000,100.000000,No,Consumer Staples,Consumer Staples,N,Friendly,South Africa,Netherlands,DGH,HEIA,Common Stock,Common Stock,2020,25271.837,22370.224,42632,19715,40071.84,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,67903.837,25271.837,Large,Full (4/4),2021
226545328,M&A,2021/4/7,ADI SJ,CSU CN,Pending,"Competing Bid, Company Takeover, Cross Border",Constellation Software Inc/Canada announced the acquisition of AdaptIT Holdings Ltd for ZAR 1598.45M. The transaction was announced on 4/7/2021 and is currently pending.,ZAR,Cash,,0.000000,100.000000,No,Technology,Technology,N,Friendly,South Africa,Canada,ADI,CSU,Common Stock,Common Stock,2020,1937.817764,1483.346995,4375,3969,1598.44,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,6312.817763999999,1937.817764,Intermediate,Full (4/4),2021
226546984,M&A,2021/5/18,FTA SJ,FVT SJ,Withdrawn,Majority Purchase,Fairvest Property Holdings Ltd announced the acquisition of Fairvest Ltd for ZAR 5583.05M.,ZAR,Stock,2021/12/21,0.000000,50.099998,No,Real Estate,Real Estate,N,Friendly,South Africa,South Africa,FTA,FVT,REIT,REIT,2020,14434.107,2222.086,3891.373,578.612,5583.06,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,18325.48,14434.107,Large,Full (4/4),2021
226641797,M&A,2021/5/27,TWR SJ,RDCP BG,Withdrawn,"Company Takeover, Cross Border","With no further information, the deal has been withdrawn on 11/30/2021. RDC Properties Ltd/Botswana proposed to acquire Tower Property Fund Ltd for BWP 2,773.79M. The transaction was proposed on 05/27/2021.",BWP,Cash,2021/11/30,0.000000,100.000000,No,Real Estate,Real Estate,N,Friendly,South Africa,Botswana,TWR,RDCP,REIT,Common Stock,2020,5288.34,395.579,2518.95,133.507,3607.53,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,7807.29,5288.34,Large,Full (4/4),2021
227024741,M&A,2021/6/30,MPT SJ,CAT SJ,Pending,"Majority Purchase, Additional Stake Purchase",Caxton and CTP Publishers and Printers Ltd announced the acquisition of Mpact Ltd. The transaction was announced on 6/30/2021 and is currently pending. Financial terms of the transaction are undisclosed.,ZAR,Undisclosed,,32.000000,0.000000,No,Materials,Communications,N,Friendly,South Africa,South Africa,MPT,CAT,Common Stock,Common Stock,2020,8028.3,10257.9,6509.192,5572.359,,4,Both,4,2017-10-01,2026-04-30,600,100,6600,190,84.0166666666667,4.55833333333333,6206842.1,4509870.3,137.627951296072,6.40844281790467,20520438.0,16767.092,10257.9,Large,Full (4/4),2021
