Deal Type,Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Deal Status,Target Industry Sector,Acquirer Industry Sector,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Total Assets,Acquirer Total Assets
"AST",2011/12/7,"Revenue Building/Pietermaritzburg,270 Jabu Ndlovu Street/Pietermaritzburg","Rebosis Property Fund Ltd",181.00,"Completed","N.A.","Real Estate",,1666.66,,13512.2
"AST",2018/11/21,"Northgate Island/Cape Town","Spear REIT Ltd",313.00,"Completed","Real Estate","Real Estate",,853.197,,7584.07
"M&A",2010/7/20,"Axiz Technology Pty Ltd","Alviva Holdings Ltd",170.89,"Completed","Technology","Consumer Discretionary",,23429.2,,9722.62
"AST",2008/8/15,"Santam Corporate Office Complex","Ingenuity Property Investments Ltd",177.50,"Completed","N.A.","Real Estate",,468.379,,3969.21
"M&A",2013/7/29,"Tuinweg Property Investments Pty Ltd","Oryx Properties Ltd",220.00,"Completed","Real Estate","Real Estate",,514.027,,5128.92
"AST",2023/2/13,"Erf 6281 Montague Gardens/Century City","Capitec Bank Holdings Ltd",400.00,"Completed","Real Estate","Financials",,61650.7,,263284
"M&A",2024/10/1,"Caledonia Mining Services Pvt Ltd","Crossboundary Energy Holdings",389.62,"Completed","Materials","Financials",,,,
"AST",2010/2/26,"Tyger Hills Office Park","Sycom Property Fund",171.24,"Completed","N.A.","Real Estate",,915.74,,9272.69
"M&A",2008/10/27,"Bond Exchange of South Africa","JSE Ltd",240.50,"Completed","Financials","Financials",,3401.17,,67543.9
"M&A",2013/4/26,"Klamflex Pipe Couplings Pty Ltd","Zurn Elkay Water Solutions Cor",202.32,"Completed","Industrials","Industrials",,30321.7,,44389.4
"AST",2009/11/2,"South African Gaming operations","Grand Parade Investments Ltd",174.10,"Completed","N.A.","Financials",,0.292,,1142.11
"INV",2020/3/2,"WhereIsMyTransport Pty Ltd","Toyota Tsusho Corp,Nedbank Group Ltd,Private Investor,GV Management Co LLC (Fund: Google Ventures/Fund),Goodwell Investments BV,Naspers Ventures Ltd,Global Innovation Fund,360 Tec SA de CV,SBI Investment Co Ltd (Fund: SUBARU-SBI Innovation Fund),Cathay Capital Private Equity SASU (Fund: Catha...",341.86,"Completed","Communications","Materials, Financials, Financials, Financials, Financials, Financials, Financials, Financials, Financials",,,,
"INV",2023/11/14,"Pineapple Tech Pty Ltd","Hannover Rueck SE,Futuregrowth Asset Management Pty Ltd,Private Investor,Old Mutual Ltd,E4E Africa (Fund: E4E Africa Fund),Association for Savings & Investment SA,Mineworkers Investment Co (Fund: MIC Khulisani Ventures)",402.44,"Completed","Technology","Financials, Financials, Financials, Financials, Financials, Financials",,,,
"INV",2026/8/7,"Moment Payco","AlphaCode Pty Ltd,MultiChoice Group,Canal+ SA,General Catalyst Partners LLC (Fund: GC Customer Value Fund III LP)",355.55,"Completed","Technology","Financials, Financials, Communications, Communications",,,,
"AST",2015/1/6,"Remhoogte/Holsloot operations & assets","Rockwell Diamonds Inc",256.27,"Completed","Materials","Materials",,,,0.234374
"M&A",2016/1/19,"Tadvest SA Pty Ltd","Tadvest Ltd",366.11,"Completed","Unclassifiable","Financials",,657.803,,1967.77
"M&A",1999/6/18,"Suburban & Industrial Sign Design CC","Corpcom Ltd",130.40,"Completed","N.A.","Communications",,239.888,,350.199
"AST",2011/8/5,"Orkney Gold Mine/South Africa","China African Precious Metals Pty Ltd",150.00,"Completed","N.A.","Materials",,,,
"M&A",2010/4/29,"Fuelogic Pty Ltd","Grindrod Ltd",160.00,"Completed","Utilities","Industrials",,5558.33,,16129.9
"AST",2007/10/4,"Koornfontein Coal Mine","Unicorn Capital Partners Ltd",150.00,"Completed","Materials","Materials",,958.289,,1075.94
"INV",2006/8/2,"ApexHi Properties Ltd","DEC Investment Holding Co,Cida Empowerment Fund,Maafrika Tikkunn,Makhulong a Matala Community Development Services,Soul City Broad Based Empowerment Co/The,Clearwater Capital",149.50,"Completed","Real Estate","Financials, Consumer Discretionary, Consumer Discretionary",,,,
"M&A",2011/8/4,"BNP Paribas Securities South Africa Holdings Pty Ltd","BNP Paribas SA",150.00,"Completed","Financials","Financials",,2.17164e+06,,5.43037e+07
"AST",2012/3/7,"Iron Ore Assets/South Africa","Ironveld PLC",164.26,"Completed","Materials","Industrials",,0.0940396,,858.317
"M&A",2000/12/1,"Infracom Ltd","Lisianthus Pty Ltd",165.13,"Completed","Industrials","N.A.",,,,
"M&A",2015/12/1,"International Ferro Metals SA Pty Ltd","Creditors",310.00,"Completed","Materials","N.A.",,,,
"INV",2005/10/3,"Nampak Glass Pty Ltd","Wiegand-Glas GmbH",137.89,"Completed","Materials","Materials",,,,
"M&A",2007/10/25,"Old Mutual Bank","Nedbank Group Ltd",140.00,"Completed","Financials","Financials",,164033,,1.55863e+06
"M&A",2016/9/22,"Storage RSA Investments Pty Ltd","Stor-Age Property REIT Ltd",288.77,"Completed","Industrials","Real Estate",,1452.88,,14324
"AST",1999/3/18,"SOK Ltd","Afgri Ltd",132.60,"Completed","N.A.","Consumer Staples",,8573,,7396
"AST",2006/12/15,"Bedding Springs Business","Steinhoff International Holdings Pty Ltd",148.69,"Completed","N.A.","Consumer Discretionary",,,,
