Action ID,Deal Type,Announce Date,Deal Status,Deal Attributes,Deal Description,Currency of Deal,Payment Type,Completion/Termination Date,Announced Premium,Percent Owned,Percent Sought,Has Contingency Payment,Target Industry Sector,Acquirer Industry Sector,Adviser Fees Disclosed,Acquirer Legal Adviser,Acquirer Financial Adviser,Nature of Bid,Target Country/Region,Acquirer Country/Region,Target Total Assets Source,Acquirer Total Assets Source,Target Revenue Source,Acquirer Revenue Source,Target Total Assets,Target Revenue,Acquirer Total Assets,Acquirer Revenue,Regime No.,Regime Start,Regime End,Intermediate Combined (R'm),Intermediate Target (R'm),Large Combined (R'm),Large Target (R'm),CPI Index (Dec 2024=100),CPI YoY %,Nominal GDP (R million),"Real GDP (R million, 2015 prices)","GDP Deflator (Index, 2015=100)",GDP Deflator YoY %,Market Capitalisation (R million),Classification,Year,Data Completeness,"Combined Limb Value (best of 4 routes, R'm)","Target Limb Value (max of assets/turnover, R'm)",Ownership Type,Attr: Company Takeover,Attr: Additional Stake Purchase,Attr: Cross Border,Attr: Minority Purchase,Attr: Tender Offer,Attr: Majority Purchase,Attr: Private Equity,Attr: Mandatory Offer,Attr: Private Placement,Attr: Squeeze Out,Attr: PE Buyout,Attr: Competing Bid,Attr: PE Seller,Attr: Option Agreement,Attr: Going Private,Attr: PE Exit,Attr: Government Privatization,Attr: Reverse Merger,Attr: Recapitalization,Attr: Asset Sale,Attr: Bankruptcy/Liquidation,Attr: Private Equity Related,Attr: Any Stake-Change Type Tagged,Attr: Formal Offer Process (Tender/Mandatory/Squeeze Out)
6889502,M&A,2001/5/16,Completed,"Company Takeover, Additional Stake Purchase",Naspers Ltd acquired M-Web Holdings Ltd for ZAR 123.22M. The transaction was announced on 5/16/2001 and completed on 7/9/2001.,ZAR,Stock,2001/7/9,26.81,82.750000,17.250000,No,Communications,Communications,N,,Investec Bank/Standard Bank of,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,610.6530151367188,227.3370056152344,1410.291077164,1134.4927419755652,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Intermediate,2001,Full (4/4),2020.9440923007187,610.6530151367188,Public,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6907747,M&A,2001/7/16,Completed,Company Takeover,Bidvest Group Ltd/The acquired Paragon Business Communications Ltd for ZAR 75.83M. The transaction was announced on 7/16/2001 and completed on 3/26/2002.,ZAR,Cash,2002/3/26,22.58,0.000000,100.000000,No,Industrials,Consumer Staples,N,Bowman Gilfill,Investec Bank,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,138.52099609375,246.7910003662109,8109.428223,26427.619141,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Large,2001,Full (4/4),26674.41014136621,246.7910003662109,Public,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6946385,M&A,2001/7/27,Completed,Company Takeover,Cape Municipal Pension Fund sold Advent Properties Pty Ltd to Atlas Properties Ltd for ZAR 253.25M. The transaction was announced on 7/27/2001 and completed on 9/30/2001.,ZAR,Cash,2001/9/30,,0.000000,100.000000,No,Real Estate,Real Estate,N,,AC Morris Assoc,Friendly,South Africa,South Africa,MA-screen (current/latest),Point-in-time,MA-screen (current/latest),Point-in-time,223.693,32.518,326.497009,63.442001,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Intermediate,2001,Full (4/4),550.190009,223.693,Public,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6947547,M&A,2001/3/27,Completed,Company Takeover,Corpcapital Ltd acquired Micawber 275 Ltd for ZAR 435.36M. The transaction was announced on 3/27/2001 and completed on 10/22/2001.,ZAR,Stock,2001/10/22,-21.88,0.000000,100.000000,No,Financials,Financials,N,,Corpcap Bank Ltd/KPMG Corp Fin,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,2198.849121,435.223999,3743.43896484375,536.4190063476562,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Large,2001,Full (4/4),5942.28808584375,2198.849121,Public,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7000598,M&A,2001/8/8,Completed,"Company Takeover, Additional Stake Purchase, Tender Offer",Astral Foods Ltd acquired National Chick Ltd for ZAR 97.07M. The transaction was announced on 8/8/2001 and completed on 5/6/2002.,ZAR,Cash,2002/5/6,12.23,34.900002,65.099998,No,Consumer Staples,Consumer Staples,N,,Rand Merchant Bk,Friendly,South Africa,South Africa,Point-in-time,MA-screen (current/latest),Point-in-time,MA-screen (current/latest),185.721,213.343,9325.82,22619.2,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Large,2001,Full (4/4),22832.543,213.343,Public,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
7021822,M&A,2001/8/15,Completed,"Company Takeover, Additional Stake Purchase, Tender Offer",Bidvest Group Ltd/The acquired I-Fusion Holdings Ltd for ZAR 14.92M. The transaction was announced on 8/15/2001 and completed on 11/12/2001.,ZAR,Cash,2001/11/12,-0.77,77.309998,22.690001,No,Technology,Consumer Staples,N,Werksmans,Investec Bank,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,76.663,195.497,8109.428223,26427.619141,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Large,2001,Full (4/4),26623.116141,195.497,Public,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
7031406,M&A,2001/8/3,Completed,"Company Takeover, Tender Offer",Fountainhead Property Trust acquired Allan Gray Property Investment Ltd for ZAR 659.11M. The transaction was announced on 8/3/2001 and completed on 10/1/2001.,ZAR,Stock,2001/10/1,-4.51,0.000000,100.000000,No,Real Estate,Real Estate,N,,Standard Bank of,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,909.8259887695312,86.7760009765625,1368.369019,261.954987,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Intermediate,2001,Full (4/4),2278.195007769531,909.8259887695312,Public,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7038619,M&A,2001/5/28,Terminated,Company Takeover,New Africa Investments Ltd announced the acquisition of Kagiso Media Ltd for ZAR 277.94M. The transaction was announced on 5/28/2001 and terminated on 1/2/2002.,ZAR,Cash,2002/1/2,6.31,0.000000,100.000000,No,Communications,Financials,N,Webber Wentzel,African Merchant,Friendly,South Africa,South Africa,Point-in-time,Point-in-time,Point-in-time,Point-in-time,241.223999,142.488007,33631.88671875,548.583984375,2,2001-02-01,2009-03-31,200,30,3500,100,29.15,5.725,1165940.6,2903049.5,40.1626152085936,7.80047907381016,1770682.0,Large,2001,Full (4/4),33873.11071775,241.223999,Public,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71006294,M&A,2012/11/21,Completed,"Company Takeover, Cross Border",Cipla Ltd/India acquired Cipla Medpro South Africa Ltd for ZAR 4828.13M. The transaction was announced on 11/21/2012 and completed on 7/16/2013.,ZAR,Cash,2013/7/16,32.39,0.000000,100.000000,No,Health Care,Health Care,N,Webber Wentzel,Morgan Stanley,Friendly,South Africa,India,Point-in-time,Point-in-time,Point-in-time,Point-in-time,2776.537,1767.561,85966.5,61113.9,3,2009-04-01,2017-09-30,560,80,6600,190,54.3916666666667,5.66666666666667,3566385.0,4197952.4,84.9553463255086,4.68520499377743,8383564.0,Large,2012,Full (4/4),88743.037,2776.537,Public,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71033454,INV,2006/6/19,Completed,Minority Purchase,PSG Group Ltd acquired a minority stake in Capevin Holdings Ltd. The transaction was completed on 6/19/2006.,ZAR,Stock,2006/6/19,,0.000000,11.300000,No,Consumer Staples,Financials,N,,,Friendly,South Africa,South Africa,MA-screen (current/latest),Point-in-time,Missing,Point-in-time,2842.8,,2793.832,468.459,2,2001-02-01,2009-03-31,200,30,3500,100,36.9166666666667,4.64166666666667,2057593.9,3602578.7,57.114474695584,6.06463577535368,5041515.0,Large,2006,Partial (3/4),5636.632,2842.8,Public,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
